53	1	0	1	1
68	1	1	1	1
103	0	0	0	1
106	1	1	1	1
118	0	1	1	1
148	1	1	1	1
149	1	1	1	1
153	1	1	1	1
163	0	1	1	1
168	1	1	1	1
171	-1	-1	0	1
174	1	1	1	1
180	1	1	1	1
263	1	1	1	1
275	0	1	1	1
279	1	1	1	1
280	1	1	1	1
305	1	1	1	1
306	1	1	1	1
313	1	1	1	1
324	1	1	1	1
336	1	0	1	1
338	1	1	1	0
349	1	1	1	1
375	-1	-1	1	0
399	1	1	1	1
400	1	1	1	1
412	0	1	1	1
417	1	1	1	1
442	0	1	1	1
469	1	1	1	1
510	1	1	0	1
518	1	1	1	1
554	1	1	1	1
590	1	1	1	1
605	1	1	1	1
619	1	1	1	1
627	0	1	0	1
660	1	1	1	1
663	1	1	1	1
666	1	1	1	1
690	1	1	1	1
705	0	1	1	1
718	1	1	1	1
723	1	1	1	1
728	1	1	1	1
753	1	1	1	1
802	1	1	0	0
828	0	1	1	1
852	1	1	1	1
1530	1	1	1	1
1817	1	1	1	1
2726	1	1	1	1
2995	1	1	1	1
3240	1	1	1	1
3518	1	1	1	1
3611	1	1	1	1
3672	1	1	1	1
4089	1	1	1	1
4231	1	1	1	1
4414	1	1	1	1
4598	1	1	1	1
4830	1	1	1	1
4842	1	1	1	1
4927	1	1	1	1
4998	1	1	1	1
5215	1	1	1	1
5863	1	1	1	1
5875	1	1	1	1
6290	1	1	1	1
6294	0	1	1	1
6297	1	1	1	1
6298	1	0	1	1
6306	1	1	1	1
6308	1	1	1	1
6310	1	1	1	1
6313	1	1	1	0
6316	1	1	1	0
6317	1	1	1	0
6318	1	1	1	0
6319	1	1	1	0
6320	1	1	1	0
6321	1	1	1	0
6325	1	1	1	0
6326	1	1	1	0
6328	1	1	1	0
6330	1	1	1	0
6331	1	1	1	0
6332	1	1	1	0
6333	1	1	1	0
6334	1	1	1	0
6335	1	1	0	0
6339	1	1	0	0
6341	1	1	1	0
6376	1	1	1	0
6380	1	1	0	0
6447	1	1	1	0
6455	1	1	1	0
6460	1	1	1	0
6533	1	1	1	0
6660	1	1	1	1
6666	1	1	1	1
6682	1	1	0	1
6684	1	1	1	1
6686	1	1	0	0
6688	1	1	1	1
6690	1	0	1	1
6696	1	1	1	1
6698	0	1	1	1
6700	1	1	1	1
6702	1	1	1	1
6929	1	1	1	0
6931	1	1	1	0
6999	1	1	1	1
7073	1	1	1	1
7089	1	1	1	1
7091	1	1	1	1
7167	1	1	1	0
7175	1	1	1	1
7187	1	1	1	1
7259	1	1	1	1
7297	1	1	1	1
7299	1	1	1	1
7331	1	1	1	1
7337	1	1	1	1
7355	1	1	1	1
7367	1	1	1	1
7396	1	1	1	0
7583	1	1	1	0
7586	1	1	1	1
7587	1	1	0	1
7588	1	1	1	1
7589	1	1	1	1
7592	-1	1	0	1
7596	1	1	1	0
7598	1	1	1	1
7605	0	1	1	1
7606	1	1	0	1
7608	1	1	0	1
7610	1	1	1	1
7614	1	1	1	1
7641	1	1	1	0
7655	1	1	0	0
7664	1	1	1	0
7666	-1	-1	0	0
7671	1	1	1	0
7672	1	1	1	1
7675	1	1	1	0
7676	1	1	1	0
7700	1	1	1	0
7730	0	1	1	1
7760	1	1	1	1
7817	1	1	1	1
7822	1	1	0	1
7823	1	1	0	1
7890	1	1	0	1
7941	1	1	0	0
7953	1	1	1	1
7970	1	1	1	0
8139	1	1	1	1
8141	-1	-1	1	1
8142	1	1	1	1
8151	1	0	1	0
8152	1	1	0	0
8160	1	1	1	0
8163	1	1	0	0
8168	1	1	1	1
8171	1	1	0	1
8173	1	1	1	1
8175	1	1	1	0
8176	-1	-1	0	0
8182	1	1	1	0
8184	0	1	0	0
8187	1	1	1	0
8189	1	1	1	1
8190	0	1	0	0
8195	1	1	1	0
8198	1	1	0	0
8200	1	1	0	0
