168	1	1
275	1	1
336	1	1
349	1	1
2726	1	1
6297	1	1
7091	1	1
7586	1	1
7587	1	1
7817	1	1
8171	1	1
8252	1	1
8323	1	1
8339	1	1
8360	1	1
8371	1	1
8377	1	1
8469	1	1
8470	1	1
8518	1	1
8523	1	1
6335	1	1
7608	1	1
275	1	0
313	1	0
399	1	0
590	1	0
663	1	0
3518	1	0
4089	1	0
4842	1	0
5215	1	0
5875	1	0
7073	1	0
7089	1	0
7259	1	0
7331	1	0
7355	1	0
7608	1	0
8171	1	0
8248	1	0
8327	1	0
8444	1	0
8457	1	0
8523	1	0
8524	1	0
510	1	0
3240	1	0
4231	1	0
4414	1	0
4598	1	0
6306	1	0
7598	1	0
8252	1	0
8287	1	0
8308	1	0
8360	1	0
8406	1	0
8413	1	0
8419	1	0

